chunkSize,repeat,bytes,MB,messages,quiesce_s,msg_per_s,MB_per_s,dataset_pct
8,0,5368624,5.368624,16278,676.7397000000011,24.053561509691207,0.007933070869050525,0.007174906782492482
10,0,5422368,5.422368,10681,397.8089000000004,26.84957526088529,0.013630584936636648,0.007246733043768794
16,0,5821264,5.821264,4618,128.00009999999963,36.07809681398697,0.04547858946985211,0.007779838289341798
20,0,6121336,6.121336,3177,91.32559999999962,34.78761705370688,0.06702760233713248,0.008180870030070163
32,0,7826504,7.826504,1673,47.988,34.86288238726348,0.1630929399016421,0.01045974473772135
50,0,11728292,11.728292,1109,24.141900000000373,45.93673240299988,0.485806502387957,0.01567429602405613
64,0,15346792,15.346792,909,21.5135,42.252539103353705,0.7133563576359031,0.020510246575342467
100,0,31188296,31.188296,797,14.68910000000149,54.257919137314005,2.1232271548288755,0.04168165185432676
128,0,44652040,44.65204,705,17.623,40.00453952221528,2.5337365942234578,0.0596752956899432
200,0,102287312,102.287312,674,14.714800000000745,45.80422431837102,6.951321934378641,0.1367020541262947
256,0,152294248,152.294248,621,22.577299999998882,27.50550331527821,6.74545884583221,0.20353390978950886
300,0,211136920,211.13692,625,29.051700000000185,21.513370990337776,7.267627023547629,0.2821743000334113
400,0,348686736,348.686736,602,45.949,13.101482077955994,7.588559838081351,0.4660029883060474
500,0,503836408,503.836408,561,63.76540000000037,8.797874709481894,7.901407471763638,0.6733530344136318
512,0,514543848,514.543848,541,67.321,8.036125428915197,7.643140297975372,0.6876630110257267
600,0,705236280,705.23628,545,89.55879999999888,6.085387477277574,7.874561517126277,0.9425142398930839
700,0,912098588,912.098588,521,129.11149999999907,4.035271838682099,7.064425616618245,1.218975727363849
800,0,1150486056,1150.486056,517,184.6321000000001,2.800163135229463,6.23123528357203,1.5375690691613766
900,0,1364935832,1364.935832,489,279.1153999999999,1.7519635247643095,4.890220432122342,1.8241708412963582
1000,0,1598835584,1598.835584,458,349.10590000000036,1.3119228291472573,4.5798010976039025,2.1367665673237553
