chunkSize,repeats,quiesced_all,quiesce_ms,quiesce_ms_min,quiesce_ms_max,mean_fps,mean_fps_min,mean_fps_max,p50_ms,p50_ms_min,p50_ms_max,p95_ms,p95_ms_min,p95_ms_max,p99_ms,p99_ms_min,p99_ms_max,low1_fps,low1_fps_min,low1_fps_max,failed,error_msgs,device_lost_any
2,1,False,900000,900000,900000,12.759425028409598,12.759425028409598,12.759425028409598,78.5,78.5,78.5,103.70000000006985,103.70000000006985,103.70000000006985,116.59999999997672,116.59999999997672,116.59999999997672,8.51063829787515,8.51063829787515,8.51063829787515,0,,False
4,1,False,900000,900000,900000,12.857681844357453,12.857681844357453,12.857681844357453,77.59999999997672,77.59999999997672,77.59999999997672,101.90000000002328,101.90000000002328,101.90000000002328,105.40000000002328,105.40000000002328,105.40000000002328,8.912655971477035,8.912655971477035,8.912655971477035,0,,False
8,1,True,676739.7000000011,676739.7000000011,676739.7000000011,15.768555411300687,15.768555411300687,15.768555411300687,62.09999999997672,62.09999999997672,62.09999999997672,95.59999999997672,95.59999999997672,95.59999999997672,102.70000000006985,102.70000000006985,102.70000000006985,8.789277081960458,8.789277081960458,8.789277081960458,0,,False
10,1,True,397808.9000000004,397808.9000000004,397808.9000000004,24.065466056209324,24.065466056209324,24.065466056209324,41.5,41.5,41.5,70.20000000001164,70.20000000001164,70.20000000001164,82.79999999998836,82.79999999998836,82.79999999998836,11.930326890959131,11.930326890959131,11.930326890959131,0,,False
16,1,True,128000.09999999963,128000.09999999963,128000.09999999963,58.531765833017324,58.531765833017324,58.531765833017324,15.10000000000582,15.10000000000582,15.10000000000582,33.10000000000582,33.10000000000582,33.10000000000582,34.80000000001746,34.80000000001746,34.80000000001746,24.554941682014384,24.554941682014384,24.554941682014384,0,,False
20,1,True,91325.59999999963,91325.59999999963,91325.59999999963,85.89226969572738,85.89226969572738,85.89226969572738,8,8,8,26.10000000000582,26.10000000000582,26.10000000000582,30.40000000000873,30.40000000000873,30.40000000000873,31.00241129865703,31.00241129865703,31.00241129865703,0,,False
32,1,True,47988,47988,47988,169.1053010314224,169.1053010314224,169.1053010314224,4.19999999999709,4.19999999999709,4.19999999999709,10.900000000008731,10.900000000008731,10.900000000008731,21.89999999999418,21.89999999999418,21.89999999999418,39.88269794721442,39.88269794721442,39.88269794721442,0,,False
50,1,True,24141.900000000373,24141.900000000373,24141.900000000373,235.28530028979714,235.28530028979714,235.28530028979714,3.099999999998545,3.099999999998545,3.099999999998545,8.89999999999418,8.89999999999418,8.89999999999418,20.10000000000582,20.10000000000582,20.10000000000582,44.57238369393624,44.57238369393624,44.57238369393624,0,,False
64,1,True,21513.5,21513.5,21513.5,287.21840597534276,287.21840597534276,287.21840597534276,2.599999999998545,2.599999999998545,2.599999999998545,7.900000000001454,7.900000000001454,7.900000000001454,19.200000000000728,19.200000000000728,19.200000000000728,46.7704217401823,46.7704217401823,46.7704217401823,0,,False
100,1,True,14689.10000000149,14689.10000000149,14689.10000000149,366.5808612201035,366.5808612201035,366.5808612201035,2,2,2,6,6,6,16.899999999997817,16.899999999997817,16.899999999997817,49.865229110512004,49.865229110512004,49.865229110512004,0,,False
