renderType,location,pitch,repeats,quiesced_all,quiesce_ms,quiesce_ms_min,quiesce_ms_max,mean_fps,mean_fps_min,mean_fps_max,p50_ms,p50_ms_min,p50_ms_max,p95_ms,p95_ms_min,p95_ms_max,p99_ms,p99_ms_min,p99_ms_max,low1_fps,low1_fps_min,low1_fps_max,failed,error_msgs,device_lost_any
cubes,ljubljana,down,3,True,24896.799999999814,20129.89999999944,25806,35.59679628833405,35.449468257976136,35.5971382496992,28,28,28.099999999998545,29.799999999995634,29.69999999999709,30.39999999999418,44.80000000000291,44.200000000004366,45,20.120724346076162,18.45444059976963,20.882276168102404,0,,False
cubes,ljubljana,horizon,3,True,24641.900000000373,23058.900000000373,25374.300000000047,37.75299751808999,37.736414142170446,37.75802980792222,26.5,26.5,26.5,28.30000000000291,28.30000000000291,28.5,34.400000000001455,33.69999999999709,34.900000000001455,24.698981167027306,23.303233323623456,25.69043031470825,0,,False
cubes,ljubljana,up,3,True,19330.600000000093,18544.400000000373,20742.900000000373,37.87102866307275,37.870650246059306,37.87405627145405,26.400000000001455,26.400000000001455,26.5,28.400000000001455,28.19999999999709,28.599999999998545,34.60000000000582,34.19999999999709,35,23.92344497607645,23.303233323623456,24.744819053511005,0,,False
greedy,ljubljana,down,3,True,20639,19415.599999999627,22798,84.79700187382888,84.7826195629896,84.81946499260268,11.700000000004366,11.700000000004366,11.700000000004366,13.5,13.299999999995634,13.700000000004366,17.400000000001455,17.30000000000291,26.69999999999709,42.36232245203097,34.440842787683195,42.9076224129219,0,,False
greedy,ljubljana,horizon,3,True,19185.800000000745,16990.099999999627,20559.5,84.99037042595232,84.97861796091281,85.00988951711184,11.700000000000728,11.69999999999709,11.700000000000728,13.30000000000291,13.299999999995634,13.5,16.700000000000728,16.5,17.099999999998545,44.831880448319616,43.10344827586222,45.04504504504444,0,,False
greedy,ljubljana,up,3,True,22003.900000000373,18054.19999999972,22578.5,85.12233524104664,85.11467740887531,85.13084555974906,11.69999999999709,11.69999999999709,11.69999999999709,13.099999999998545,13.099999999998545,13.400000000001455,17.299999999995634,17,17.400000000001455,41.312829928852125,38.4944396920446,47.21930745015821,0,,False
hybrid,ljubljana,down,3,True,22064.10000000056,17185,22272.099999999627,422.6464516193533,395.9390862944162,434.3870593645652,1.7999999999956344,1.7000000000043656,1.9000000000014552,5.80000000000291,5.299999999995634,5.80000000000291,14.700000000004366,14.400000000001455,14.89999999999418,53.54330708661319,52.808766255197426,57.43332453129087,0,,False
hybrid,ljubljana,horizon,3,True,17669.099999999627,15522.299999999814,21050.5,390.18907510552737,375.013125459391,401.73355568648196,1.9000000000014552,1.8000000000029104,1.9000000000014552,6,5.700000000004366,6.30000000000291,15.299999999995634,15.19999999999709,15.599999999998545,51.495991134868376,50.31193399074233,52.64184051471932,0,,False
hybrid,ljubljana,up,3,True,19344.200000000186,16921.699999999255,23811.300000000047,410.73775858535873,410.2523091686992,425.9212045771532,1.8000000000029104,1.7000000000043656,1.8000000000029104,5.599999999998545,5.599999999998545,5.700000000000728,14.799999999995634,12.900000000001455,16.19999999999709,54.483392411710334,54.177545691907035,56.22752533507615,0,,False
mesh,ljubljana,down,3,True,28497.39999999944,25731.700000001118,28653.5,166.50509209750442,162.94918525407374,166.5400835448604,5.900000000001455,5.900000000001455,6,7.900000000001454,7.899999999994179,8.099999999998545,15.799999999995633,15.200000000004366,15.799999999995633,49.425788632069555,45.69371365272934,50.28098195799919,0,,False
